timepoint,genotype,embryo,total_cells,cell_type,cells
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_A11,29,rohon-beard neuron,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_A11,29,unknown sensory ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_B11,47,cranial ganglion progenitor,13
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_B11,47,epibranchial ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_B11,47,lateral line ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_B11,47,statoacoustic ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_B11,47,trigeminal ganglion,15
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_B11,47,rohon-beard neuron,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_B11,47,unknown sensory ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_C11,31,cranial ganglion progenitor,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_C11,31,epibranchial ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_C11,31,lateral line ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_C11,31,statoacoustic ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_C11,31,trigeminal ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_C11,31,rohon-beard neuron,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_C11,31,unknown sensory ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_D11,52,cranial ganglion progenitor,14
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_D11,52,epibranchial ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_D11,52,lateral line ganglion,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_D11,52,statoacoustic ganglion,11
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_D11,52,trigeminal ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_D11,52,rohon-beard neuron,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_D11,52,unknown sensory ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_E11,34,cranial ganglion progenitor,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_E11,34,epibranchial ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_E11,34,lateral line ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_E11,34,statoacoustic ganglion,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_E11,34,trigeminal ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_E11,34,rohon-beard neuron,1
